Dam,River,Photo,Indicators,FSC,This Week,Last Week,Last Year
Kouga Dam,Kouga River,Photo,Indicators,126.0,100.4,100.4,76.9
Kromrivier Dam,Krom River,Photo,Indicators,35.3,100.7,100.8,77.9
Laing Dam,Buffalo River,Photo,Indicators,19.0,101.7,101.1,101.0
Lake Arthur Dam,Tarka River,Photo,Indicators,11.3,63.8,63.3,#30.0
Loerie Dam,Loeriespruit River,Photo,Indicators,3.1,74.5,76.8,83.7
Lubisi Dam,Indwe River,Photo,Indicators,113.6,65.7,65.3,45.5
Mabeleni Dam,Mhlahlane River,,Indicators,2.1,100.0,100.0,100.0
Macubeni Dam,Cacadu River,,Indicators,3.4,97.9,99.6,98.7
Macubeni Dam,Cacadu River,,Indicators,3.4,100.0,97.9,97.8
Mlanga Dam,Mlanga River,Photo,Indicators,1.6,71.4,70.7,92.4
Mnyameni Dam,uMnyama River,,Indicators,1.9,100.0,99.5,99.7
Nahoon Dam,Nahoon River,Photo,Indicators,19.3,86.7,73.4,96.1
Ncora Dam,Tsomo River,Photo,Indicators,144.9,92.6,93.7,101.0
Nqadu Dam,Nqadu River,Photo,Indicators,1.3,60.4,60.4,93.5
Nqweba Dam,Sondags River,Photo,Indicators,45.4,100.9,101.6,93.2
Ntenetyana Dam,Ntenetyana River,Photo,Indicators,1.7,76.4,76.4,100.8
Nuwejaars Dam,Nuwejaarspruit River,Photo,Indicators,4.6,102.1,102.1,61.7
Oxkraal Dam,Oskraal River,Photo,Indicators,14.9,92.5,92.2,100.0
Rooikrans Dam,Buffalo River,Photo,Indicators,4.8,99.2,94.2,95.8
Sandile Dam,Keiskamma River,Photo,Indicators,29.7,100.4,100.1,95.2
Tsojana Dam,Tsojana River,,Indicators,12.3,100.0,99.1,100.0
Umtata Dam,Mtata River,Photo,Indicators,244.7,96.1,95.3,100.2
Waterdown Dam,Klipplaat River,Photo,Indicators,37.5,100.6,100.2,100.2
Wriggleswade Dam,Kubisi River,Photo,Indicators,91.5,99.2,97.0,100.4
Xonxa Dam,White Kei River,Photo,Indicators,115.9,100.0,99.2,98.6
Total,Total,Total,Total,1731.2,89.0,88.5,81.9
Boegoeberg Dam,Orange River,Photo,Indicators,23.6,#29.5,#29.5,105.3
Douglas Weir Dam,Vaal River,Photo,Indicators,16.3,111.8,112.3,112.3
Karee Dam,Karee River,Photo,Indicators,1.0,97.3,98.0,93.7
Leeubos Dam,Swartbas River,Photo,Indicators,1.0,#0.0,#0.0,#0.0
Spitskop Dam,Harts River,Photo,Indicators,57.9,102.6,103.1,97.0
Vaalharts Weir Dam,Vaal River,Photo,Indicators,50.7,84.8,88.5,83.9
Total,Total,Total,Total,150.3,85.4,86.9,94.9
Bellair Dam,Brak River,Photo,Indicators,4.3,96.5,#96.5,85.1
Berg River Dam,Berg River,Photo,Indicators,127.1,89.7,89.0,100.7
Brandvlei Dam,Lower Brandvlei River,Photo,Indicators,286.1,62.5,61.2,68.6
Buffeljags Dam,Buffeljags River,Photo,Indicators,4.6,101.1,100.8,100.1
Bulshoek Dam,Olifants River,Photo,Indicators,4.9,90.1,91.9,82.3
Calitzdorp Dam,Nels River,Photo,Indicators,4.9,100.2,100.3,71.9
Ceres Dam,Koekedou River,Photo,Indicators,17.3,104.8,78.8,103.7
Ceres Dam,Koekedou River,Photo,Indicators,17.3,92.5,90.9,99.4
Ceres Dam,Koekedou River,Photo,Indicators,17.3,90.2,89.0,89.0
Ceres Dam,Koekedou River,Photo,Indicators,17.3,100.0,100.0,94.3
Clanwilliam Dam,Olifants River,Photo,Indicators,122.5,95.1,94.1,73.9
De Bos Dam,Onrus River,Photo,Indicators,5.8,99.3,99.5,100.0
